pizza name,page link
"

          Christmas pizza        
",/recipes/christmas-pizza
"

          Pizza        
",/recipes/291609/pizza
"

          Ultimate pizza Margherita        
",/recipes/2053/ultimate-pizza-margherita
"

          Florentine pizza        
",/recipes/3265/florentine-pizza
"

          Superhealthy pizza        
",/recipes/10117/superhealthy-pizza
"

          Pizza omelette        
",/recipes/3451/pizza-omelette
"

          Pizza margherita in 4 easy steps        
",/recipes/4683/pizza-margherita-in-4-easy-steps
"

          Holiday pizzas        
",/recipe/summer-holiday-pizzas
"

          Pinwheel pizzas        
",/recipes/2360663/pinwheel-pizzas
